index,x,y,z
0,0.30243703722953796,0.8756875991821289,4.91809657887643e-07 
1,0.34380295872688293,0.8402025103569031,-0.028604604303836823 
2,0.36295217275619507,0.73792964220047,-0.03933445364236832 
3,0.3328912556171417,0.6624428629875183,-0.04952394962310791 
4,0.29450109601020813,0.6086078882217407,-0.05790870636701584 
5,0.3550858497619629,0.5942407250404358,-0.01539292000234127 
6,0.3565683364868164,0.48311272263526917,-0.0369032621383667 
7,0.3551402986049652,0.4131162762641907,-0.050061050802469254 
8,0.3506321310997009,0.3520072102546692,-0.05755114555358887 
9,0.3177695572376251,0.5972498059272766,-0.02035360410809517 
10,0.3185146152973175,0.4654850959777832,-0.04741603508591652 
11,0.32174816727638245,0.3843669891357422,-0.06340404599905014 
12,0.3200085461139679,0.3171825408935547,-0.06833333522081375 
13,0.28324460983276367,0.6316882371902466,-0.02944154478609562 
14,0.28758004307746887,0.5861822366714478,-0.0769190564751625 
15,0.3081604838371277,0.6695071458816528,-0.08605360984802246 
16,0.3171226382255554,0.7236944437026978,-0.07660604268312454 
17,0.25117257237434387,0.6853720545768738,-0.03982602432370186 
18,0.27033740282058716,0.6582021713256836,-0.07934883236885071 
19,0.29154902696609497,0.7247084379196167,-0.08051490038633347 
20,0.30019623041152954,0.7711693644523621,-0.07080600410699844 
